anime,end,information,score,start
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,2005,"|TV (26 eps)|Jan 2004 - Jan 2005|188,217 members|",8.55,2004
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,2020,"|TV (13 eps)|Jul 2020 - Sep 2020|531,788 members|",8.55,2020
Aria the Origination,2008,"|TV (13 eps)|Jan 2008 - Apr 2008|95,952 members|",8.54,2008
Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,2019,"|Movie (1 eps)|Aug 2019 - Aug 2019|368,118 members|",8.54,2019
Chihayafuru 3,2020,"|TV (24 eps)|Oct 2019 - Mar 2020|82,594 members|",8.53,2019
Gintama.: Porori-hen,2017,"|TV (13 eps)|Oct 2017 - Dec 2017|119,486 members|",8.53,2017
Slam Dunk,1996,"|TV (101 eps)|Oct 1993 - Mar 1996|190,723 members|",8.53,1993
Uchuu Kyoudai,2014,"|TV (99 eps)|Apr 2012 - Mar 2014|145,495 members|",8.53,2012
Rainbow: Nisha Rokubou no Shichinin,2010,"|TV (26 eps)|Apr 2010 - Sep 2010|293,184 members|",8.52,2010
Steins;Gate 0,2018,"|TV (23 eps)|Apr 2018 - Sep 2018|555,903 members|",8.52,2018
Gintama Movie 1: Shinyaku Benizakura-hen,2010,"|Movie (1 eps)|Apr 2010 - Apr 2010|111,360 members|",8.52,2010
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,2016,"|TV (39 eps)|Apr 2016 - Dec 2016|573,556 members|",8.52,2016
Hotaru no Haka,1988,"|Movie (1 eps)|Apr 1988 - Apr 1988|412,133 members|",8.51,1988
Mo Dao Zu Shi,2018,"|ONA (15 eps)|Jul 2018 - Oct 2018|121,878 members|",8.51,2018
Neon Genesis Evangelion: The End of Evangelion,1997,"|Movie (1 eps)|Jul 1997 - Jul 1997|527,631 members|",8.51,1997
One Piece,NA,"|TV (? eps)|Oct 1999 - |1,246,514 members|",8.5,1999
Saiki Kusuo no Ψ-nan 2,2018,"|TV (24 eps)|Jan 2018 - Jun 2018|311,976 members|",8.5,2018
Samurai Champloo,2005,"|TV (26 eps)|May 2004 - Mar 2005|848,820 members|",8.5,2004
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,2013,"|Movie (1 eps)|Apr 2013 - Apr 2013|432,750 members|",8.5,2013
Zoku Owarimonogatari,2018,"|Movie (6 eps)|Nov 2018 - Nov 2018|138,452 members|",8.5,2018
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,2020,"|TV (12 eps)|Jul 2020 - Sep 2020|339,448 members|",8.49,2020
Mob Psycho 100,2016,"|TV (12 eps)|Jul 2016 - Sep 2016|1,156,412 members|",8.49,2016
Jujutsu Kaisen (TV),NA,"|TV (24 eps)|Oct 2020 - |452,592 members|",8.48,2020
Kenpuu Denki Berserk,1998,"|TV (25 eps)|Oct 1997 - Apr 1998|417,276 members|",8.48,1997
Nichijou,2011,"|TV (26 eps)|Apr 2011 - Sep 2011|618,330 members|",8.48,2011
Saenai Heroine no Sodatekata Fine,2019,"|Movie (1 eps)|Oct 2019 - Oct 2019|75,234 members|",8.48,2019
Saiki Kusuo no Ψ-nan,2016,"|TV (120 eps)|Jul 2016 - Dec 2016|524,976 members|",8.47,2016
Golden Kamuy 3rd Season,2020,"|TV (12 eps)|Oct 2020 - Dec 2020|61,113 members|",8.47,2020
Mushishi Zoku Shou: Odoro no Michi,2014,"|Special (1 eps)|Aug 2014 - Aug 2014|74,717 members|",8.47,2014
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,2015,"|TV (24 eps)|Jan 2015 - Jun 2015|581,916 members|",8.46,2015
Kaze ga Tsuyoku Fuiteiru,2019,"|TV (23 eps)|Oct 2018 - Mar 2019|183,058 members|",8.46,2018
Major S5,2009,"|TV (25 eps)|Jan 2009 - Jun 2009|55,516 members|",8.46,2009
Nana,2007,"|TV (47 eps)|Apr 2006 - Mar 2007|382,666 members|",8.46,2006
Owarimonogatari,2015,"|TV (12 eps)|Oct 2015 - Dec 2015|339,153 members|",8.46,2015
Perfect Blue,1998,"|Movie (1 eps)|Feb 1998 - Feb 1998|358,523 members|",8.46,1998
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,2018,"|Movie (1 eps)|Feb 2018 - Feb 2018|227,715 members|",8.46,2018
Shingeki no Kyojin,2013,"|TV (25 eps)|Apr 2013 - Sep 2013|2,316,411 members|",8.46,2013
Tian Guan Ci Fu,2021,"|ONA (11 eps)|Oct 2020 - Jan 2021|29,797 members|",8.46,2020
Yuu☆Yuu☆Hakusho,1995,"|TV (112 eps)|Oct 1992 - Jan 1995|450,090 members|",8.45,1992
Koukaku Kidoutai: Stand Alone Complex,2003,"|TV (26 eps)|Oct 2002 - Oct 2003|319,684 members|",8.45,2002
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,2011,"|TV (11 eps)|Apr 2011 - Jun 2011|1,092,553 members|",8.44,2011
Chihayafuru 2,2013,"|TV (25 eps)|Jan 2013 - Jun 2013|177,150 members|",8.44,2013
Cross Game,2010,"|TV (50 eps)|Apr 2009 - Mar 2010|98,145 members|",8.44,2009
Gintama: Yorinuki Gintama-san on Theater 2D,2012,"|Movie (2 eps)|Aug 2012 - Aug 2012|30,620 members|",8.44,2012
Gotcha!,2020,"|Music (1 eps)|Sep 2020 - Sep 2020|11,608 members|",8.44,2020
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,2019,"|TV (12 eps)|Jan 2019 - Mar 2019|817,860 members|",8.44,2019
Kara no Kyoukai 7: Satsujin Kousatsu (Go),2009,"|Movie (1 eps)|Aug 2009 - Aug 2009|160,581 members|",8.44,2009
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,2013,"|Movie (1 eps)|Oct 2013 - Oct 2013|278,921 members|",8.44,2013
Tenki no Ko,2019,"|Movie (1 eps)|Jul 2019 - Jul 2019|414,100 members|",8.44,2019
Usagi Drop,2011,"|TV (11 eps)|Jul 2011 - Sep 2011|379,846 members|",8.44,2011
3-gatsu no Lion,2017,"|TV (22 eps)|Oct 2016 - Mar 2017|429,113 members|",8.43,2016
Kono Oto Tomare! 2nd Season,2019,"|TV (13 eps)|Oct 2019 - Dec 2019|73,728 members|",8.43,2019
Baccano!,2007,"|TV (13 eps)|Jul 2007 - Nov 2007|684,961 members|",8.42,2007
Banana Fish,2018,"|TV (24 eps)|Jul 2018 - Dec 2018|352,397 members|",8.42,2018
Hunter x Hunter,2001,"|TV (62 eps)|Oct 1999 - Mar 2001|390,039 members|",8.42,1999
Mo Dao Zu Shi 2nd Season,2019,"|ONA (8 eps)|Aug 2019 - Sep 2019|48,924 members|",8.42,2019
Mononoke,2007,"|TV (12 eps)|Jul 2007 - Sep 2007|201,661 members|",8.42,2007
Shingeki no Kyojin Season 2,2017,"|TV (12 eps)|Apr 2017 - Jun 2017|1,414,760 members|",8.42,2017
Natsume Yuujinchou Movie: Utsusemi ni Musubu,2018,"|Movie (1 eps)|Sep 2018 - Sep 2018|42,389 members|",8.41,2018
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,2019,"|Movie (1 eps)|Sep 2019 - Sep 2019|159,811 members|",8.41,2019
Bakuman. 2nd Season,2012,"|TV (25 eps)|Oct 2011 - Mar 2012|280,682 members|",8.41,2011
Barakamon,2014,"|TV (12 eps)|Jul 2014 - Sep 2014|486,642 members|",8.41,2014
Gintama°: Aizome Kaori-hen,2016,"|OVA (2 eps)|Aug 2016 - Nov 2016|56,952 members|",8.41,2016
Grand Blue,2018,"|TV (12 eps)|Jul 2018 - Sep 2018|384,958 members|",8.41,2018
Great Pretender,2020,"|ONA (23 eps)|Jun 2020 - Sep 2020|205,064 members|",8.41,2020
Haikyuu!!: To the Top,2020,"|TV (13 eps)|Jan 2020 - Apr 2020|399,713 members|",8.41,2020
Hellsing Ultimate,2012,"|OVA (10 eps)|Feb 2006 - Dec 2012|647,581 members|",8.41,2006
Houseki no Kuni (TV),2017,"|TV (12 eps)|Oct 2017 - Dec 2017|290,541 members|",8.41,2017
Kaze no Tani no Nausicaä,1984,"|Movie (1 eps)|Mar 1984 - Mar 1984|267,473 members|",8.41,1984
Kiseijuu: Sei no Kakuritsu,2015,"|TV (24 eps)|Oct 2014 - Mar 2015|1,172,868 members|",8.41,2014
