anime,end,information,score,start
Isshuukan Friends.,2014,"|TV (12 eps)|Apr 2014 - Jun 2014|245,843 members|",7.58,2014
Konnichiwa Anne: Before Green Gables,2009,"|TV (39 eps)|Apr 2009 - Dec 2009|5,226 members|",7.58,2009
Kore wa Zombie Desu ka? of the Dead,2012,"|TV (10 eps)|Apr 2012 - Jun 2012|313,464 members|",7.58,2012
Minami-ke Okaeri,2009,"|TV (13 eps)|Jan 2009 - Mar 2009|59,034 members|",7.58,2009
Mitsudomoe: Oppai Ippai Mama Genki,2011,"|Special (1 eps)|Feb 2011 - Feb 2011|15,912 members|",7.58,2011
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,2013,"|TV (10 eps)|Jan 2013 - Mar 2013|448,796 members|",7.58,2013
Aa! Megami-sama! Movie,2000,"|Movie (1 eps)|Oct 2000 - Oct 2000|37,509 members|",7.57,2000
Another,2012,"|TV (12 eps)|Jan 2012 - Mar 2012|1,159,794 members|",7.57,2012
Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,2008,"|Special (1 eps)|Mar 2008 - Mar 2008|120,540 members|",7.57,2008
Digimon Adventure Movie,1999,"|Movie (1 eps)|Mar 1999 - Mar 1999|93,598 members|",7.57,1999
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,1990,"|Special (1 eps)|Oct 1990 - Oct 1990|77,243 members|",7.57,1990
Drifters (OVA),2017,"|OVA (2 eps)|Dec 2017 - Dec 2017|59,316 members|",7.57,2017
Durarara!!x2 Ten: Onoroke Chakapoko,2016,"|Special (1 eps)|Jan 2016 - Jan 2016|41,078 members|",7.57,2016
Fairy Tail: Final Series,2019,"|TV (51 eps)|Oct 2018 - Sep 2019|297,047 members|",7.57,2018
Fukigen na Mononokean Tsuzuki,2019,"|TV (13 eps)|Jan 2019 - Mar 2019|34,441 members|",7.57,2019
Ginga Tetsudou 999 (Movie),1979,"|Movie (1 eps)|Aug 1979 - Aug 1979|14,460 members|",7.57,1979
Given Movie,2020,"|Movie (1 eps)|Aug 2020 - Aug 2020|51,149 members|",7.57,2020
Grisaia no Kajitsu,2014,"|TV (13 eps)|Oct 2014 - Dec 2014|435,866 members|",7.57,2014
Hokuto no Ken: Raoh Gaiden Gekitou-hen,2007,"|Movie (1 eps)|Apr 2007 - Apr 2007|8,022 members|",7.57,2007
Ike! Ina-chuu Takkyuubu,1995,"|TV (26 eps)|Apr 1995 - Sep 1995|13,480 members|",7.57,1995
Initial D Battle Stage,2002,"|OVA (1 eps)|May 2002 - May 2002|26,297 members|",7.57,2002
InuYasha Movie 1: Toki wo Koeru Omoi,2001,"|Movie (1 eps)|Dec 2001 - Dec 2001|78,299 members|",7.57,2001
Irozuku Sekai no Ashita kara,2018,"|TV (13 eps)|Oct 2018 - Dec 2018|215,025 members|",7.57,2018
Konohana Kitan,2017,"|TV (12 eps)|Oct 2017 - Dec 2017|105,223 members|",7.57,2017
"Kumo no Mukou, Yakusoku no Basho",2004,"|Movie (1 eps)|Nov 2004 - Nov 2004|173,200 members|",7.57,2004
Mirai Nikki,2012,"|TV (26 eps)|Oct 2011 - Apr 2012|1,459,894 members|",7.57,2011
Mobile Suit Gundam Unicorn RE:0096,2016,"|TV (22 eps)|Apr 2016 - Sep 2016|23,807 members|",7.57,2016
Ojiisan no Lamp,2011,"|Movie (1 eps)|Mar 2011 - Mar 2011|17,329 members|",7.57,2011
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,1997,"|Movie (1 eps)|Dec 1997 - Dec 1997|43,633 members|",7.57,1997
Sengoku Basara Ni,2010,"|TV (12 eps)|Jul 2010 - Sep 2010|59,546 members|",7.57,2010
Shakugan no Shana III (Final),2012,"|TV (24 eps)|Oct 2011 - Mar 2012|201,067 members|",7.57,2011
Shin Tennis no Ouji-sama,2012,"|TV (13 eps)|Jan 2012 - Mar 2012|47,656 members|",7.57,2012
Sora no Otoshimono: Forte,2010,"|TV (12 eps)|Oct 2010 - Dec 2010|241,110 members|",7.57,2010
Special A,2008,"|TV (24 eps)|Apr 2008 - Sep 2008|288,251 members|",7.57,2008
Toriko,2014,"|TV (147 eps)|Apr 2011 - Mar 2014|98,077 members|",7.57,2011
Towa no Quon 5: Souzetsu no Raifuku,2011,"|Movie (1 eps)|Nov 2011 - Nov 2011|28,563 members|",7.57,2011
Wakakusa Monogatari: Nan to Jo-sensei,1993,"|TV (40 eps)|Jan 1993 - Dec 1993|4,792 members|",7.57,1993
Patapata Hikousen no Bouken,2002,"|TV (26 eps)|Jan 2002 - Jun 2002|5,831 members|",7.56,2002
Planetarian: Chiisana Hoshi no Yume,2016,"|ONA (5 eps)|Jul 2016 - Aug 2016|75,856 members|",7.56,2016
R.O.D: The TV,2004,"|TV (26 eps)|Sep 2003 - Mar 2004|60,885 members|",7.56,2003
Saki Achiga-hen: Episode of Side-A Specials,2013,"|Special (4 eps)|Feb 2013 - Aug 2013|12,266 members|",7.56,2013
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,2019,"|TV (12 eps)|Oct 2019 - Dec 2019|324,056 members|",7.56,2019
Shion no Ou,2008,"|TV (22 eps)|Oct 2007 - Mar 2008|27,656 members|",7.56,2007
So Ra No Wo To,2010,"|TV (12 eps)|Jan 2010 - Mar 2010|133,902 members|",7.56,2010
Tamayura: More Aggressive,2013,"|TV (12 eps)|Jul 2013 - Sep 2013|16,571 members|",7.56,2013
Tonari no Kaibutsu-kun,2012,"|TV (13 eps)|Oct 2012 - Dec 2012|724,831 members|",7.56,2012
Tsubasa Chronicle,2005,"|TV (26 eps)|Apr 2005 - Oct 2005|192,451 members|",7.56,2005
Yama no Susume: Third Season,2018,"|TV (13 eps)|Jul 2018 - Sep 2018|16,117 members|",7.56,2018
Akame ga Kill!,2014,"|TV (24 eps)|Jul 2014 - Dec 2014|1,320,022 members|",7.56,2014
Chuunibyou demo Koi ga Shitai! Ren,2014,"|TV (12 eps)|Jan 2014 - Mar 2014|489,837 members|",7.56,2014
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,2016,"|Special (1 eps)|Sep 2016 - Sep 2016|124,454 members|",7.56,2016
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,1995,"|Movie (1 eps)|Mar 1995 - Mar 1995|107,061 members|",7.56,1995
Fantastic Children,2005,"|TV (26 eps)|Oct 2004 - Mar 2005|26,831 members|",7.56,2004
Fate/kaleid liner Prisma☆Illya 3rei!!,2016,"|TV (12 eps)|Jul 2016 - Sep 2016|89,673 members|",7.56,2016
Furiko,2012,"|Special (1 eps)|Mar 2012 - Mar 2012|16,019 members|",7.56,2012
Girls & Panzer,2013,"|TV (12 eps)|Oct 2012 - Mar 2013|217,922 members|",7.56,2012
Happy Party Train,2017,"|Music (1 eps)|Apr 2017 - Apr 2017|7,114 members|",7.56,2017
Heroic Age,2007,"|TV (26 eps)|Apr 2007 - Oct 2007|94,850 members|",7.56,2007
Hetalia: The Beautiful World,2013,"|ONA (20 eps)|Jan 2013 - Jun 2013|59,680 members|",7.56,2013
Hetalia: The Beautiful World Specials,2013,"|Special (4 eps)|Apr 2013 - Oct 2013|15,465 members|",7.56,2013
Hokuto no Ken 2,1988,"|TV (43 eps)|Mar 1987 - Feb 1988|22,948 members|",7.56,1987
Hollowness,2018,"|Music (1 eps)|Aug 2018 - Aug 2018|2,711 members|",7.56,2018
Huyao Xiao Hongniang: Beishan Yaodi,2017,"|ONA (8 eps)|Nov 2016 - Jan 2017|6,483 members|",7.56,2016
Kaitou Saint Tail,1996,"|TV (43 eps)|Oct 1995 - Sep 1996|15,064 members|",7.56,1995
Kimagure Orange☆Road,1988,"|TV (48 eps)|Apr 1987 - Mar 1988|33,438 members|",7.56,1987
Kishibe Rohan wa Ugokanai,2020,"|OVA (4 eps)|Sep 2017 - Mar 2020|45,488 members|",7.56,2017
Kokoro Yohou,2020,"|Music (1 eps)|Jan 2020 - Jan 2020|1,954 members|",7.56,2020
Kyoukaisenjou no Horizon II,2012,"|TV (13 eps)|Jul 2012 - Sep 2012|70,869 members|",7.56,2012
Mobile Fighter G Gundam,1995,"|TV (49 eps)|Apr 1994 - Mar 1995|54,293 members|",7.56,1994
Aikatsu Stars!,2018,"|TV (100 eps)|Apr 2016 - Mar 2018|14,035 members|",7.55,2016
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,2013,"|Movie (1 eps)|Sep 2013 - Sep 2013|108,254 members|",7.55,2013
Final Fantasy VII: Advent Children - Venice Film Festival Footage,2005,"|Movie (1 eps)|Sep 2005 - Sep 2005|9,986 members|",7.55,2005
Gundam Build Divers Re:Rise 2nd Season,2020,"|ONA (13 eps)|Apr 2020 - Aug 2020|5,188 members|",7.55,2020
Hetalia World Series Specials,2012,"|Special (4 eps)|Mar 2011 - Sep 2012|20,977 members|",7.55,2011
High School DxD New,2013,"|TV (12 eps)|Jul 2013 - Sep 2013|633,096 members|",7.55,2013
Ie Naki Ko Remy Specials,1997,"|Special (3 eps)|Jun 1997 - Jun 1997|1,859 members|",7.55,1997
Jigoku Sensei Nube,1997,"|TV (49 eps)|Apr 1996 - Jun 1997|14,923 members|",7.55,1996
Kidou Keisatsu Patlabor the Movie,1989,"|Movie (1 eps)|Jul 1989 - Jul 1989|31,563 members|",7.55,1989
Kidou Keisatsu Patlabor: New OVA,1992,"|OVA (16 eps)|Nov 1990 - Apr 1992|7,433 members|",7.55,1990
Koi wa Ameagari no You ni,2018,"|TV (12 eps)|Jan 2018 - Mar 2018|188,086 members|",7.55,2018
Konjiki no Gash Bell!!,2006,"|TV (150 eps)|Apr 2003 - Mar 2006|94,968 members|",7.55,2003
"Kuroshitsuji: Sono Shitsuji, Kougyou",2009,"|Special (1 eps)|Sep 2009 - Sep 2009|88,974 members|",7.55,2009
Macross Zero,2004,"|OVA (5 eps)|Dec 2002 - Oct 2004|32,694 members|",7.55,2002
Mahouka Koukou no Rettousei,2014,"|TV (26 eps)|Apr 2014 - Sep 2014|723,171 members|",7.55,2014
Psycho-Pass 3,2019,"|TV (8 eps)|Oct 2019 - Dec 2019|162,697 members|",7.55,2019
Rakudai Kishi no Cavalry,2015,"|TV (12 eps)|Oct 2015 - Dec 2015|604,499 members|",7.55,2015
Saenai Heroine no Sodatekata,2015,"|TV (12 eps)|Jan 2015 - Mar 2015|425,013 members|",7.55,2015
Sarazanmai,2019,"|TV (11 eps)|Apr 2019 - Jun 2019|91,787 members|",7.55,2019
Shoukoku no Altair,2017,"|TV (24 eps)|Jul 2017 - Dec 2017|56,863 members|",7.55,2017
Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi,1994,"|Movie (1 eps)|Aug 1994 - Aug 1994|12,264 members|",7.55,1994
So Ra No Wo To Specials,2010,"|Special (2 eps)|Jun 2010 - Sep 2010|23,566 members|",7.55,2010
Tada-kun wa Koi wo Shinai,2018,"|TV (13 eps)|Apr 2018 - Jun 2018|177,330 members|",7.55,2018
Tennis no Ouji-sama: Another Story II - Ano Toki no Bokura,2011,"|OVA (4 eps)|Aug 2011 - Oct 2011|8,873 members|",7.55,2011
Tokyo Ravens,2014,"|TV (24 eps)|Oct 2013 - Mar 2014|361,227 members|",7.55,2013
Wakaokami wa Shougakusei! Movie,2018,"|Movie (1 eps)|Sep 2018 - Sep 2018|9,345 members|",7.55,2018
Yama no Susume: Second Season,2014,"|TV (24 eps)|Jul 2014 - Dec 2014|25,083 members|",7.55,2014
"Yondemasu yo, Azazel-san. (TV)",2011,"|TV (13 eps)|Apr 2011 - Jul 2011|62,960 members|",7.55,2011
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,2013,"|TV (12 eps)|Jan 2013 - Mar 2013|115,335 members|",7.55,2013
One Piece: Heart of Gold,2016,"|Special (1 eps)|Jul 2016 - Jul 2016|46,097 members|",7.54,2016
Ouritsu Uchuugun: Honneamise no Tsubasa,1987,"|Movie (1 eps)|Mar 1987 - Mar 1987|33,995 members|",7.54,1987
Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,2018,"|Movie (1 eps)|Oct 2018 - Oct 2018|179,879 members|",7.54,2018
Shirobako Movie,2020,"|Movie (1 eps)|Feb 2020 - Feb 2020|28,725 members|",7.54,2020
Shokugeki no Souma: Ni no Sara OVA,2017,"|OVA (2 eps)|May 2017 - Jul 2017|115,175 members|",7.54,2017
Sora no Aosa wo Shiru Hito yo,2019,"|Movie (1 eps)|Oct 2019 - Oct 2019|48,561 members|",7.54,2019
Taiho Shichau zo (TV),1997,"|TV (47 eps)|Oct 1996 - Sep 1997|22,009 members|",7.54,1996
Yuru Camp△ Specials,2018,"|Special (3 eps)|Mar 2018 - Jul 2018|33,232 members|",7.54,2018
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,2017,"|Movie (1 eps)|Mar 2017 - Mar 2017|11,311 members|",7.54,2017
Zero no Tsukaima F,2012,"|TV (12 eps)|Jan 2012 - Mar 2012|323,103 members|",7.54,2012
Zombieland Saga,2018,"|TV (12 eps)|Oct 2018 - Dec 2018|299,607 members|",7.54,2018
Aa! Megami-sama! (TV) Specials,2005,"|Special (3 eps)|Apr 2005 - Dec 2005|24,210 members|",7.54,2005
Aa! Megami-sama!: Sorezore no Tsubasa Specials,2007,"|Special (2 eps)|Feb 2007 - Feb 2007|22,405 members|",7.54,2007
Afro Samurai Movie,2007,"|Movie (1 eps)|Oct 2007 - Oct 2007|46,839 members|",7.54,2007
Air Gear,2006,"|TV (25 eps)|Apr 2006 - Sep 2006|292,233 members|",7.54,2006
Arslan Senki (TV): Fuujin Ranbu,2016,"|TV (8 eps)|Jul 2016 - Aug 2016|113,108 members|",7.54,2016
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,1995,"|Movie (1 eps)|Dec 1995 - Dec 1995|33,452 members|",7.54,1995
Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,2008,"|OVA (1 eps)|Apr 2008 - Apr 2008|11,022 members|",7.54,2008
Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,2011,"|Special (1 eps)|Aug 2011 - Aug 2011|35,349 members|",7.54,2011
Fairy Tail OVA,2013,"|OVA (5 eps)|Apr 2011 - Jun 2013|138,643 members|",7.54,2011
Flying Witch,2016,"|TV (12 eps)|Apr 2016 - Jun 2016|206,530 members|",7.54,2016
Fushigi no Umi no Nadia,1991,"|TV (39 eps)|Apr 1990 - Apr 1991|48,270 members|",7.54,1990
Golgo 13 (TV),2009,"|TV (50 eps)|Apr 2008 - Mar 2009|32,739 members|",7.54,2008
Hakumei to Mikochi: Neji to Bed to Irori to Bakuchi,2018,"|Special (1 eps)|Jun 2018 - Jun 2018|6,331 members|",7.54,2018
Hidamari Sketch Specials,2007,"|Special (2 eps)|Oct 2007 - Oct 2007|17,744 members|",7.54,2007
InuYasha Movie 4: Guren no Houraijima,2004,"|Movie (1 eps)|Dec 2004 - Dec 2004|73,080 members|",7.54,2004
Itazura na Kiss,2008,"|TV (25 eps)|Apr 2008 - Sep 2008|222,944 members|",7.54,2008
Itsudatte Bokura no Koi wa 10 cm Datta.,2017,"|TV (6 eps)|Nov 2017 - Dec 2017|131,620 members|",7.54,2017
Kamisama no Memochou,2011,"|TV (12 eps)|Jul 2011 - Sep 2011|201,417 members|",7.54,2011
Kappa no Coo to Natsuyasumi,2007,"|Movie (1 eps)|Jul 2007 - Jul 2007|12,797 members|",7.54,2007
Kara no Kyoukai 6: Boukyaku Rokuon,2008,"|Movie (1 eps)|Dec 2008 - Dec 2008|149,209 members|",7.54,2008
Metropolis,2001,"|Movie (1 eps)|May 2001 - May 2001|76,302 members|",7.54,2001
Ajin Part 1: Shoudou,2015,"|Movie (1 eps)|Nov 2015 - Nov 2015|37,571 members|",7.53,2015
Amaama to Inazuma,2016,"|TV (12 eps)|Jul 2016 - Sep 2016|220,754 members|",7.53,2016
Amagi Brilliant Park,2014,"|TV (13 eps)|Oct 2014 - Dec 2014|476,627 members|",7.53,2014
Araburu Kisetsu no Otome-domo yo.,2019,"|TV (12 eps)|Jul 2019 - Sep 2019|190,590 members|",7.53,2019
Area 88,1986,"|OVA (3 eps)|Feb 1985 - Jun 1986|13,330 members|",7.53,1985
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,2008,"|Movie (1 eps)|Dec 2008 - Dec 2008|180,164 members|",7.53,2008
Boruto: Naruto the Movie,2015,"|Movie (1 eps)|Aug 2015 - Aug 2015|299,532 members|",7.53,2015
Casshern Sins,2009,"|TV (24 eps)|Oct 2008 - Mar 2009|128,457 members|",7.53,2008
Deca-Dence,2020,"|TV (12 eps)|Jul 2020 - Sep 2020|180,198 members|",7.53,2020
Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,2017,"|ONA (1 eps)|Jun 2017 - Jun 2017|63,917 members|",7.53,2017
Donten ni Warau,2014,"|TV (12 eps)|Oct 2014 - Dec 2014|101,112 members|",7.53,2014
Fairy Tail Movie 2: Dragon Cry,2017,"|Movie (1 eps)|May 2017 - May 2017|123,696 members|",7.53,2017
Guilty Crown,2012,"|TV (22 eps)|Oct 2011 - Mar 2012|919,588 members|",7.53,2011
Hanbun no Tsuki ga Noboru Sora,2006,"|TV (6 eps)|Jan 2006 - Feb 2006|86,722 members|",7.53,2006
Hello!! Kiniro Mosaic,2015,"|TV (12 eps)|Apr 2015 - Jun 2015|64,390 members|",7.53,2015
Huyao Xiao Hongniang: Qian Yan,2017,"|ONA (15 eps)|Feb 2017 - Jun 2017|5,483 members|",7.53,2017
Kaleido Star: Aratanaru Tsubasa - Extra Stage,2004,"|OVA (1 eps)|Sep 2004 - Sep 2004|12,303 members|",7.53,2004
KanColle Movie,2016,"|Movie (1 eps)|Nov 2016 - Nov 2016|32,621 members|",7.53,2016
Kidou Senkan Nadesico,1997,"|TV (26 eps)|Oct 1996 - Mar 1997|43,048 members|",7.53,1996
Kindaichi Shounen no Jikenbo Returns,2014,"|TV (25 eps)|Apr 2014 - Sep 2014|14,401 members|",7.53,2014
Kiniro Mosaic: Pretty Days,2016,"|Movie (1 eps)|Nov 2016 - Nov 2016|18,815 members|",7.53,2016
Little Busters!,2013,"|TV (26 eps)|Oct 2012 - Apr 2013|229,768 members|",7.53,2012
Mekakucity Records,2013,"|Music (3 eps)|May 2013 - May 2013|6,204 members|",7.53,2013
Osomatsu-san 3rd Season,NA,"|TV (25 eps)|Oct 2020 - |10,621 members|",7.53,2020
Persona 4 the Animation,2012,"|TV (25 eps)|Oct 2011 - Mar 2012|214,547 members|",7.53,2011
Pretty Rhythm: Rainbow Live,2014,"|TV (51 eps)|Apr 2013 - Mar 2014|9,590 members|",7.53,2013
Ranma ½: Akumu! Shunmin Kou,2008,"|OVA (1 eps)|Jul 2008 - Jul 2008|11,092 members|",7.53,2008
Shakugan no Shana,2006,"|TV (24 eps)|Oct 2005 - Mar 2006|452,697 members|",7.53,2005
Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,2019,"|Movie (1 eps)|Oct 2019 - Oct 2019|2,032 members|",7.53,2019
The Big O,2003,"|TV (26 eps)|Oct 1999 - Mar 2003|73,798 members|",7.53,1999
UFO Robo Grendizer,1977,"|TV (74 eps)|Oct 1975 - Feb 1977|8,298 members|",7.53,1975
"One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",2008,"|Movie (1 eps)|Mar 2008 - Mar 2008|47,021 members|",7.52,2008
Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,2009,"|Special (1 eps)|Apr 2009 - Apr 2009|8,644 members|",7.52,2009
Saint☆Oniisan,2013,"|OVA (2 eps)|Dec 2012 - Aug 2013|69,375 members|",7.52,2012
Shin Tennis no Ouji-sama Specials,2013,"|Special (7 eps)|Apr 2012 - Apr 2013|9,096 members|",7.52,2012
Shinryaku!? Ika Musume,2011,"|TV (12 eps)|Sep 2011 - Dec 2011|75,827 members|",7.52,2011
Shoubushi Densetsu Tetsuya,2001,"|TV (20 eps)|Oct 2000 - Mar 2001|6,928 members|",7.52,2000
To LOVE-Ru Darkness,2012,"|TV (12 eps)|Oct 2012 - Dec 2012|274,521 members|",7.52,2012
To LOVE-Ru Darkness 2nd,2015,"|TV (12 eps)|Jul 2015 - Oct 2015|185,523 members|",7.52,2015
Tsugu Tsugumomo,2020,"|TV (12 eps)|Apr 2020 - Jun 2020|53,930 members|",7.52,2020
Yozakura Quartet: Tsuki ni Naku,2014,"|OVA (3 eps)|Oct 2013 - Nov 2014|23,826 members|",7.52,2013
Acchi Kocchi (TV),2012,"|TV (12 eps)|Apr 2012 - Jun 2012|245,345 members|",7.52,2012
Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel,2013,"|Special (1 eps)|Jun 2013 - Jun 2013|157,681 members|",7.52,2013
City Hunter: Goodbye My Sweetheart,1997,"|Special (1 eps)|Apr 1997 - Apr 1997|5,108 members|",7.52,1997
Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,2010,"|OVA (1 eps)|Apr 2010 - Apr 2010|9,525 members|",7.52,2010
Detective Conan OVA 04: Conan and Kid and Crystal Mother,2004,"|OVA (1 eps)|2004 - 2004|14,185 members|",7.52,2004
Digimon Adventure tri. 2: Ketsui,2016,"|Movie (1 eps)|Mar 2016 - Mar 2016|66,250 members|",7.52,2016
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,2020,"|TV (12 eps)|Oct 2020 - Dec 2020|253,541 members|",7.52,2020
Free! Movie 1: Timeless Medley - Kizuna,2017,"|Movie (1 eps)|Apr 2017 - Apr 2017|29,069 members|",7.52,2017
Fullmetal Alchemist: Brotherhood - 4-Koma Theater,2010,"|Special (16 eps)|Aug 2009 - Nov 2010|49,013 members|",7.52,2009
Gochuumon wa Usagi Desu ka?,2014,"|TV (12 eps)|Apr 2014 - Jun 2014|180,363 members|",7.52,2014
Haiyore! Nyaruko-san F,2015,"|OVA (1 eps)|Jun 2015 - Jun 2015|44,498 members|",7.52,2015
Hitoribocchi no Marumaru Seikatsu,2019,"|TV (12 eps)|Apr 2019 - Jun 2019|136,372 members|",7.52,2019
Hoshiai no Sora,2019,"|TV (12 eps)|Oct 2019 - Dec 2019|95,761 members|",7.52,2019
K,2012,"|TV (13 eps)|Oct 2012 - Dec 2012|575,848 members|",7.52,2012
Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers,2013,"|Movie (1 eps)|Nov 2013 - Nov 2013|41,803 members|",7.52,2013
Lady Lady!!,1988,"|TV (21 eps)|Oct 1987 - Mar 1988|4,749 members|",7.52,1987
Magic Knight Rayearth II,1995,"|TV (29 eps)|Apr 1995 - Nov 1995|26,538 members|",7.52,1995
Mahou Shoujo Lyrical Nanoha: Detonation,2018,"|Movie (1 eps)|Oct 2018 - Oct 2018|6,356 members|",7.52,2018
Mekakucity Days,2012,"|Music (5 eps)|May 2012 - May 2012|7,676 members|",7.52,2012
Nanbaka 2,2017,"|ONA (12 eps)|Jan 2017 - Mar 2017|89,418 members|",7.52,2017
Ano Natsu de Matteru,2012,"|TV (12 eps)|Jan 2012 - Mar 2012|298,640 members|",7.51,2012
Asobi Asobase OVA,2018,"|OVA (1 eps)|Dec 2018 - Dec 2018|28,741 members|",7.51,2018
Bokura Mada Underground,2019,"|Music (1 eps)|Jan 2019 - Jan 2019|2,326 members|",7.51,2019
Cike Wu Liuqi Fanwai,2018,"|ONA (4 eps)|Aug 2018 - Aug 2018|4,333 members|",7.51,2018
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,2016,"|TV (11 eps)|Jul 2016 - Sep 2016|213,592 members|",7.51,2016
"Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai",2017,"|Movie (1 eps)|Nov 2017 - Nov 2017|15,809 members|",7.51,2017
Hellsing,2002,"|TV (13 eps)|Oct 2001 - Jan 2002|530,899 members|",7.51,2001
Kakuriyo no Yadomeshi,2018,"|TV (26 eps)|Apr 2018 - Sep 2018|94,846 members|",7.51,2018
Karakai Jouzu no Takagi-san: Water Slide,2018,"|OVA (1 eps)|Jul 2018 - Jul 2018|53,947 members|",7.51,2018
Major 2nd (TV),2018,"|TV (25 eps)|Apr 2018 - Sep 2018|23,525 members|",7.51,2018
Minami-ke Betsubara,2009,"|OVA (1 eps)|Jun 2009 - Jun 2009|26,864 members|",7.51,2009
Neo-Aspect,2018,"|Music (1 eps)|May 2018 - May 2018|1,933 members|",7.51,2018
Ningen Shikkaku: Director's Cut-ban,2009,"|Movie (1 eps)|Dec 2009 - Dec 2009|7,700 members|",7.51,2009
Oban Star-Racers,2006,"|TV (26 eps)|Apr 2006 - Dec 2006|41,195 members|",7.51,2006
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,2020,"|TV (12 eps)|Apr 2020 - Jun 2020|214,373 members|",7.51,2020
Perrine Monogatari,1978,"|TV (53 eps)|Jan 1978 - Dec 1978|3,993 members|",7.51,1978
Persona 4 the Animation: No One is Alone,2012,"|Special (1 eps)|Aug 2012 - Aug 2012|38,787 members|",7.51,2012
Suisei no Gargantia,2013,"|TV (13 eps)|Apr 2013 - Jun 2013|277,920 members|",7.51,2013
Sukitte Ii na yo.,2012,"|TV (13 eps)|Oct 2012 - Dec 2012|455,559 members|",7.51,2012
Tales of Symphonia The Animation: Tethe'alla-hen,2011,"|OVA (4 eps)|Mar 2010 - Feb 2011|28,086 members|",7.51,2010
Tasogare Otome x Amnesia: Taima Otome,2012,"|Special (1 eps)|Nov 2012 - Nov 2012|63,556 members|",7.51,2012
Toaru Majutsu no Index Movie: Endymion no Kiseki,2013,"|Movie (1 eps)|Feb 2013 - Feb 2013|101,001 members|",7.51,2013
Waga Seishun no Arcadia,1982,"|Movie (1 eps)|Jul 1982 - Jul 1982|7,919 members|",7.51,1982
Yozakura Quartet: Hana no Uta,2013,"|TV (13 eps)|Oct 2013 - Dec 2013|101,692 members|",7.51,2013
Zipang,2005,"|TV (26 eps)|Oct 2004 - Apr 2005|16,270 members|",7.51,2004
Noblesse: Awakening,2016,"|ONA (1 eps)|Feb 2016 - Feb 2016|83,521 members|",7.5,2016
Omoide Poroporo,1991,"|Movie (1 eps)|Jul 1991 - Jul 1991|91,107 members|",7.5,1991
Owari no Seraph,2015,"|TV (12 eps)|Apr 2015 - Jun 2015|834,380 members|",7.5,2015
Salaryman Kintarou,2001,"|TV (20 eps)|Feb 2001 - Mar 2001|7,488 members|",7.5,2001
Sayonara Zetsubou Sensei Special,2012,"|Special (1 eps)|Jan 2012 - Jan 2012|15,337 members|",7.5,2012
Shigofumi,2008,"|TV (12 eps)|Jan 2008 - Mar 2008|76,663 members|",7.5,2008
Shinryaku!! Ika Musume,2014,"|OVA (3 eps)|Aug 2012 - Sep 2014|21,897 members|",7.5,2012
Toradora! Recap,2009,"|OVA (1 eps)|Apr 2009 - Apr 2009|50,467 members|",7.5,2009
Totsukuni no Shoujo,2019,"|OVA (1 eps)|Sep 2019 - Sep 2019|17,437 members|",7.5,2019
Towa no Quon 3: Mugen no Renza,2011,"|Movie (1 eps)|Aug 2011 - Aug 2011|30,025 members|",7.5,2011
Wu Geng Ji,2017,"|ONA (30 eps)|Jun 2016 - Aug 2017|3,299 members|",7.5,2016
Zero no Tsukaima: Futatsuki no Kishi,2007,"|TV (12 eps)|Jul 2007 - Sep 2007|404,843 members|",7.5,2007
Acchi Kocchi (TV): Place=Princess,2012,"|Special (1 eps)|Nov 2012 - Nov 2012|48,433 members|",7.5,2012
Ajin,2016,"|TV (13 eps)|Jan 2016 - Apr 2016|429,365 members|",7.5,2016
